Acquisition Date,NDVI (–),LAI (–),Albedo (–),Rn (W m⁻²),G (W m⁻²),H (W m⁻²),LE (W m⁻²),ETa (mm d⁻¹),ETa⁺ (mm d⁻¹)
2023-10-15,0.37 (0.15 – 0.43),0.87 (0.41 – 1.01),0.22 (0.19 – 0.27),547.32 (495.10 – 592.77),116.87 (109.01 – 129.67),354.25 (267.47 – 415.68),76.89 (-21.16 – 204.62),2.76 (-0.76 – 7.33),2.77 (0.00 – 7.33)
2024-01-11,0.37 (0.17 – 0.44),0.87 (0.46 – 1.02),0.22 (0.19 – 0.26),584.66 (517.99 – 625.27),91.37 (84.67 – 102.15),373.82 (281.32 – 469.43),119.75 (0.82 – 245.39),4.25 (0.03 – 8.71),4.25 (0.03 – 8.71)
2024-01-27,0.36 (0.16 – 0.43),0.87 (0.44 – 1.00),0.21 (0.18 – 0.26),589.63 (524.65 – 635.32),83.55 (76.97 – 92.95),401.99 (300.45 – 511.86),104.46 (-31.57 – 241.06),3.70 (-1.12 – 8.54),3.72 (0.00 – 8.54)
2024-02-04,0.36 (0.15 – 0.43),0.85 (0.41 – 1.01),0.22 (0.19 – 0.27),528.48 (469.08 – 572.54),114.80 (105.16 – 126.67),298.15 (191.25 – 375.46),115.98 (-5.31 – 257.38),4.17 (-0.19 – 9.23),4.17 (0.00 – 9.23)
2024-02-20,0.37 (0.17 – 0.42),0.87 (0.44 – 0.99),0.23 (0.20 – 0.28),521.51 (462.09 – 571.50),96.95 (89.18 – 108.72),335.12 (256.83 – 396.85),89.35 (-21.80 – 199.77),3.19 (-0.78 – 7.12),3.19 (0.00 – 7.12)
2024-03-15,0.38 (0.16 – 0.44),0.89 (0.43 – 1.03),0.20 (0.17 – 0.25),548.60 (491.68 – 602.92),75.07 (67.80 – 85.26),382.44 (305.65 – 455.55),90.98 (-28.87 – 206.95),3.22 (-1.02 – 7.32),3.23 (0.00 – 7.32)
2024-04-16,0.39 (0.15 – 0.46),0.93 (0.40 – 1.07),0.19 (0.16 – 0.25),486.44 (428.38 – 541.92),67.48 (59.86 – 77.68),366.02 (334.91 – 389.79),52.81 (-8.00 – 113.71),1.87 (-0.28 – 4.03),1.87 (0.00 – 4.03)
2024-04-24,0.35 (0.14 – 0.40),0.84 (0.40 – 0.95),0.20 (0.17 – 0.26),446.55 (394.39 – 501.64),71.90 (63.08 – 81.39),314.61 (291.92 – 346.21),60.20 (-13.75 – 124.80),2.14 (-0.49 – 4.44),2.14 (0.00 – 4.44)
