Acquisition Date,NDVI (–),LAI (–),Albedo (–),Rn (W m⁻²),G (W m⁻²),H (W m⁻²),LE (W m⁻²),ETa (mm d⁻¹),ETa⁺ (mm d⁻¹)
2023-10-15,0.37 ± 0.06 (0.15 – 0.43),0.87 ± 0.13 (0.41 – 1.01),0.22 ± 0.01 (0.19 – 0.27),547.32 ± 19.95 (495.10 – 592.77),116.87 ± 4.09 (109.01 – 129.67),354.25 ± 29.85 (267.47 – 415.68),76.89 ± 47.65 (-21.16 – 204.62),2.76 ± 1.71 (-0.76 – 7.33),2.77 ± 1.66 (0.00 – 7.33)
2024-01-11,0.37 ± 0.06 (0.17 – 0.44),0.87 ± 0.13 (0.46 – 1.02),0.22 ± 0.01 (0.19 – 0.26),584.66 ± 20.56 (517.99 – 625.27),91.37 ± 3.29 (84.67 – 102.15),373.82 ± 35.51 (281.32 – 469.43),119.75 ± 49.48 (0.82 – 245.39),4.25 ± 1.76 (0.03 – 8.71),4.25 ± 1.76 (0.03 – 8.71)
2024-01-27,0.36 ± 0.06 (0.16 – 0.43),0.87 ± 0.12 (0.44 – 1.00),0.21 ± 0.02 (0.18 – 0.26),589.63 ± 21.29 (524.65 – 635.32),83.55 ± 3.17 (76.97 – 92.95),401.99 ± 43.71 (300.45 – 511.86),104.46 ± 57.29 (-31.57 – 241.06),3.70 ± 2.03 (-1.12 – 8.54),3.72 ± 1.93 (0.00 – 8.54)
2024-02-04,0.36 ± 0.06 (0.15 – 0.43),0.85 ± 0.12 (0.41 – 1.01),0.22 ± 0.02 (0.19 – 0.27),528.48 ± 20.65 (469.08 – 572.54),114.80 ± 4.00 (105.16 – 126.67),298.15 ± 35.21 (191.25 – 375.46),115.98 ± 50.11 (-5.31 – 257.38),4.17 ± 1.80 (-0.19 – 9.23),4.17 ± 1.80 (0.00 – 9.23)
2024-02-20,0.37 ± 0.06 (0.17 – 0.42),0.87 ± 0.12 (0.44 – 0.99),0.23 ± 0.02 (0.20 – 0.28),521.51 ± 20.76 (462.09 – 571.50),96.95 ± 3.60 (89.18 – 108.72),335.12 ± 23.27 (256.83 – 396.85),89.35 ± 38.53 (-21.80 – 199.77),3.19 ± 1.37 (-0.78 – 7.12),3.19 ± 1.36 (0.00 – 7.12)
2024-03-15,0.38 ± 0.06 (0.16 – 0.44),0.89 ± 0.12 (0.43 – 1.03),0.20 ± 0.02 (0.17 – 0.25),548.60 ± 22.19 (491.68 – 602.92),75.07 ± 3.51 (67.80 – 85.26),382.44 ± 27.95 (305.65 – 455.55),90.98 ± 41.88 (-28.87 – 206.95),3.22 ± 1.48 (-1.02 – 7.32),3.23 ± 1.45 (0.00 – 7.32)
2024-04-16,0.39 ± 0.06 (0.15 – 0.46),0.93 ± 0.13 (0.40 – 1.07),0.19 ± 0.02 (0.16 – 0.25),486.44 ± 23.41 (428.38 – 541.92),67.48 ± 3.76 (59.86 – 77.68),366.02 ± 9.20 (334.91 – 389.79),52.81 ± 24.39 (-8.00 – 113.71),1.87 ± 0.86 (-0.28 – 4.03),1.87 ± 0.86 (0.00 – 4.03)
2024-04-24,0.35 ± 0.05 (0.14 – 0.40),0.84 ± 0.12 (0.40 – 0.95),0.20 ± 0.02 (0.17 – 0.26),446.55 ± 22.79 (394.39 – 501.64),71.90 ± 3.91 (63.08 – 81.39),314.61 ± 12.64 (291.92 – 346.21),60.20 ± 28.05 (-13.75 – 124.80),2.14 ± 1.00 (-0.49 – 4.44),2.14 ± 0.98 (0.00 – 4.44)
