Date,Pixel,Easting (m),Northing (m),NDVI,Albedo,LAI,Ts (K),a,b
2021-11-26,Cold Pixel,338164.0,7988744.0,0.422,0.22,0.99,311.12,0.60203,-184.42773
2021-11-26,Hot Pixel,338045.0,7989159.0,0.142,0.26,0.39,315.69,0.60203,-184.42773
2021-12-04,Cold Pixel,338161.0,7988741.0,0.425,0.21,0.99,303.39,0.58498,-173.98659
2021-12-04,Hot Pixel,338163.0,7989045.0,0.074,0.25,0.24,307.31,0.58498,-173.98659
2022-03-02,Cold Pixel,338228.0,7988730.0,0.446,0.18,1.04,304.45,0.66909,-200.7962
2022-03-02,Hot Pixel,338155.0,7989031.0,0.08,0.23,0.26,308.25,0.66909,-200.7962
2022-03-18,Cold Pixel,338270.0,7988759.0,0.373,0.18,0.88,307.31,0.76229,-232.44137
2022-03-18,Hot Pixel,338189.0,7988980.0,0.087,0.25,0.27,310.92,0.76229,-232.44137
2022-04-03,Cold Pixel,338223.0,7988743.0,0.437,0.18,1.02,307.47,0.57026,-173.16255
2022-04-03,Hot Pixel,338040.0,7989162.0,0.149,0.25,0.4,312.39,0.57026,-173.16255
2022-04-19,Cold Pixel,338188.0,7988714.0,0.411,0.18,0.97,307.47,0.69685,-211.84274
2022-04-19,Hot Pixel,338069.0,7989104.0,0.13,0.24,0.37,311.12,0.69685,-211.84274
2022-04-27,Cold Pixel,338190.0,7988714.0,0.422,0.17,0.99,295.96,0.63588,-185.37355
2022-04-27,Hot Pixel,338127.0,7989071.0,0.073,0.23,0.24,299.47,0.63588,-185.37355
2022-05-05,Cold Pixel,338251.0,7988741.0,0.468,0.15,1.09,305.05,0.56255,-169.53363
2022-05-05,Hot Pixel,338189.0,7988949.0,0.19,0.22,0.49,308.85,0.56255,-169.53363
