Acquisition Date,NDVI (–),LAI (–),Albedo (–),Rn (W m⁻²),G (W m⁻²),H (W m⁻²),LE (W m⁻²),ETa (mm d⁻¹),ETa⁺ (mm d⁻¹)
2021-11-26,0.36 ± 0.06 (0.15 – 0.45),0.86 ± 0.13 (0.42 – 1.04),0.24 ± 0.01 (0.22 – 0.31),558.69 ± 18.76 (493.56 – 595.58),121.51 ± 3.73 (113.60 – 132.50),338.02 ± 32.13 (216.22 – 422.50),99.31 ± 46.02 (-12.91 – 263.62),3.56 ± 1.65 (-0.46 – 9.44),3.57 ± 1.64 (0.00 – 9.44)
2021-12-04,0.36 ± 0.06 (0.16 – 0.44),0.86 ± 0.12 (0.42 – 1.03),0.23 ± 0.01 (0.21 – 0.29),592.96 ± 18.51 (524.87 – 628.47),101.42 ± 3.34 (94.77 – 111.05),391.25 ± 26.64 (286.23 – 450.86),99.91 ± 39.24 (-5.03 – 246.04),3.56 ± 1.40 (-0.18 – 8.74),3.56 ± 1.39 (0.00 – 8.74)
2022-03-02,0.35 ± 0.05 (0.15 – 0.41),0.83 ± 0.12 (0.41 – 0.96),0.21 ± 0.01 (0.19 – 0.27),541.69 ± 20.26 (474.93 – 582.14),94.31 ± 3.70 (85.92 – 104.98),348.28 ± 25.32 (264.53 – 404.63),99.35 ± 38.53 (-4.21 – 211.12),3.54 ± 1.37 (-0.15 – 7.52),3.54 ± 1.37 (0.00 – 7.52)
2022-03-18,0.36 ± 0.06 (0.15 – 0.43),0.86 ± 0.12 (0.40 – 1.00),0.21 ± 0.02 (0.19 – 0.28),500.11 ± 21.00 (435.96 – 545.76),95.67 ± 3.96 (86.57 – 107.04),310.44 ± 36.33 (208.80 – 398.32),93.87 ± 50.54 (-31.10 – 230.99),3.36 ± 1.81 (-1.11 – 8.25),3.37 ± 1.76 (0.00 – 8.25)
2022-04-03,0.36 ± 0.06 (0.15 – 0.42),0.86 ± 0.12 (0.40 – 0.98),0.21 ± 0.02 (0.18 – 0.28),476.73 ± 21.99 (410.01 – 524.22),92.07 ± 4.25 (81.97 – 103.65),294.29 ± 29.00 (191.79 – 355.37),90.51 ± 43.64 (-11.17 – 233.19),3.24 ± 1.56 (-0.40 – 8.33),3.24 ± 1.55 (0.00 – 8.33)
2022-04-19,0.38 ± 0.06 (0.14 – 0.45),0.89 ± 0.13 (0.39 – 1.04),0.20 ± 0.02 (0.17 – 0.29),449.86 ± 22.82 (382.49 – 498.24),83.70 ± 4.42 (73.72 – 95.12),288.95 ± 35.36 (185.83 – 369.68),77.32 ± 49.07 (-47.42 – 215.26),2.76 ± 1.75 (-1.70 – 7.68),2.79 ± 1.63 (0.00 – 7.68)
2022-04-27,0.38 ± 0.06 (0.15 – 0.44),0.89 ± 0.13 (0.40 – 1.03),0.19 ± 0.02 (0.16 – 0.28),470.68 ± 23.78 (410.43 – 525.72),58.45 ± 3.33 (51.33 – 66.64),332.49 ± 25.43 (244.74 – 394.07),79.76 ± 39.06 (-25.44 – 199.06),2.82 ± 1.38 (-0.90 – 7.03),2.82 ± 1.36 (0.00 – 7.03)
2022-05-05,0.39 ± 0.06 (0.13 – 0.45),0.91 ± 0.14 (0.37 – 1.04),0.19 ± 0.02 (0.16 – 0.27),418.98 ± 23.65 (357.51 – 473.71),74.06 ± 4.37 (64.65 – 84.71),281.85 ± 29.47 (203.14 – 352.09),63.47 ± 44.82 (-54.77 – 178.57),2.27 ± 1.60 (-1.96 – 6.37),2.29 ± 1.46 (0.00 – 6.37)
